,kills,headshotKills,heals,damageDealt,DBNOs,walkDistance
391,0,0,0,0,0,0
392,0,0,0,0,0,2108
393,0,0,0,0,0,374
394,0,0,0,19,0,275
395,1,0,5,157,0,1220
396,0,0,0,115,0,1073
397,3,0,1,164,0,2547
398,2,0,1,193,0,482
399,1,0,2,180,0,523
400,0,0,0,96,0,145
401,0,0,0,0,0,8
402,2,0,0,152,0,1078
403,0,0,0,26,0,261
404,1,1,2,122,0,374
405,0,0,0,83,0,406
406,0,0,0,0,0,714
407,0,0,0,0,0,41
408,1,0,0,104,0,1671
409,1,0,5,87,0,1990
410,0,0,0,54,0,19
411,1,1,0,99,0,2452
412,4,1,7,359,0,2871
413,0,0,0,0,0,0
414,0,0,1,52,0,83
415,1,0,1,69,0,441
416,0,0,0,90,0,1520
417,0,0,7,0,0,3312
418,0,0,0,29,0,465
419,0,0,0,0,0,1367
420,0,0,0,0,0,0
421,0,0,0,0,0,364
422,0,0,0,90,0,42
423,6,4,4,542,0,1766
424,0,0,0,0,0,95
425,2,1,4,147,0,945
426,0,0,0,53,0,5
427,0,0,3,82,0,1892
428,0,0,0,0,0,722
429,1,0,0,188,0,258
430,0,0,0,0,0,18
431,1,0,0,185,0,59
432,1,0,0,139,0,522
433,0,0,0,0,0,44
434,1,0,0,126,0,443
435,1,0,0,344,0,1059
436,0,0,0,0,0,0
437,0,0,0,78,0,1352
438,1,0,0,222,0,170
439,8,0,4,941,0,3997
440,1,0,1,81,0,887
441,4,2,5,427,0,1270
442,0,0,0,0,0,423
443,2,0,0,203,0,429
444,0,0,3,0,0,896
445,0,0,0,0,0,1465
446,1,0,1,41,0,415
447,0,0,0,0,0,191
448,2,0,1,200,0,382
449,0,0,0,0,0,0
450,0,0,0,0,0,250
451,4,0,1,442,0,3605
452,1,0,0,100,0,208
453,0,0,0,59,0,419
454,1,1,0,80,0,2288
455,0,0,0,0,0,63
456,1,1,1,177,0,282
457,2,0,1,266,0,3623
458,0,0,0,0,0,1521
459,0,0,0,0,0,75
460,2,1,2,134,0,2429
461,0,0,0,61,0,0
462,0,0,1,0,0,220
463,0,0,0,99,0,0
464,1,0,2,138,0,523
465,0,0,0,0,0,161
466,1,0,0,100,0,443
467,0,0,0,0,0,28
468,0,0,0,0,0,332
469,1,0,0,110,0,3838
470,0,0,0,0,0,929
471,0,0,0,0,0,0
472,0,0,0,96,0,73
473,1,0,1,31,0,1046
474,1,0,1,165,0,245
475,1,0,0,141,0,86
476,2,0,0,187,0,1613
477,8,1,3,734,0,4464
478,4,0,12,504,0,5202
479,2,0,4,243,0,1425
480,0,0,11,51,0,1239
481,1,1,1,100,0,1831
482,0,0,0,23,0,167
483,0,0,0,0,0,1442
484,1,0,1,100,0,174
485,2,0,0,252,0,791
486,1,1,0,183,0,15
487,2,1,1,334,0,1180
488,0,0,0,0,0,54
489,1,0,0,174,0,10
490,2,0,0,200,0,625
491,0,0,0,0,0,51
492,0,0,0,0,0,175
493,1,0,0,174,0,791
494,2,1,0,158,0,1608
495,0,0,0,0,0,3541
496,1,1,0,160,0,415
497,0,0,6,0,0,6562
498,2,1,0,185,0,1605
499,0,0,0,0,0,49
500,2,1,0,255,0,436
501,2,0,7,355,0,598
502,0,0,0,32,0,24
503,1,0,0,180,0,2076
504,3,0,0,172,0,749
505,2,0,0,285,0,143
506,0,0,0,0,0,115
507,0,0,0,508,0,0
508,0,0,0,0,0,510
509,2,0,0,228,0,125
510,0,0,0,0,0,96
511,1,0,5,129,0,637
512,1,0,1,100,0,2187
513,0,0,0,50,0,470
514,1,1,0,168,0,437
515,1,0,0,136,0,164
516,2,0,2,240,0,567
517,1,0,1,1,0,3736
518,0,0,1,0,0,0
519,0,0,1,0,0,1199
520,1,1,0,186,0,99
521,0,0,0,33,0,0
522,0,0,0,0,0,837
523,0,0,0,115,0,2807
524,0,0,0,33,0,2690
525,1,0,0,100,0,53
526,0,0,0,0,0,70
527,0,0,0,0,0,0
528,0,0,0,0,0,118
529,0,0,0,0,0,75
530,0,0,0,0,0,1737
531,1,0,0,100,0,1337
532,0,0,0,0,0,587
533,1,0,0,136,0,246
534,0,0,0,0,0,288
535,1,0,0,100,0,113
536,0,0,0,0,0,42
537,3,1,5,372,0,769
538,1,1,0,100,0,332
539,1,0,0,161,0,478
540,0,0,0,0,0,0
541,1,0,0,100,0,62
542,2,0,0,200,0,117
543,0,0,0,0,0,49
544,0,0,0,0,0,1300
545,1,1,6,125,0,2261
546,0,0,0,53,0,95
547,4,1,0,378,0,2253
548,1,0,0,182,0,2091
549,0,0,0,0,0,895
550,0,0,0,33,0,596
551,2,0,0,200,0,496
552,0,0,2,0,0,985
553,0,0,0,77,0,1511
554,0,0,1,60,0,899
555,2,1,0,204,0,2216
556,4,1,11,334,0,1839
557,3,2,5,308,0,2439
558,3,1,2,256,0,2044
559,8,1,9,972,0,3077
560,0,0,0,0,0,21
561,4,1,0,349,0,349
562,1,0,1,170,0,243
563,1,0,1,89,0,1681
564,1,1,0,112,0,26
565,2,0,3,200,0,567
566,0,0,0,0,0,543
567,1,0,0,1,0,34
568,0,0,0,0,0,2086
569,1,0,0,100,0,125
570,0,0,2,67,0,188
571,0,0,0,72,0,51
572,0,0,0,99,0,1551
573,0,0,0,0,0,2149
574,1,1,0,291,0,2494
575,0,0,0,70,0,384
576,0,0,0,0,0,0
577,4,0,4,461,0,1594
578,0,0,0,0,0,410
579,0,0,0,0,0,721
580,0,0,0,0,0,1634
581,1,0,1,192,0,1254
582,0,0,2,0,0,697
583,0,0,0,0,0,236
584,0,0,0,42,0,163
585,3,2,0,491,0,1735
586,1,0,0,100,0,1050
587,4,1,5,388,0,1743
588,0,0,2,0,0,2977
589,2,1,1,237,0,2320
590,0,0,0,0,0,110
591,1,0,2,149,0,780
592,0,0,0,20,0,68
593,0,0,0,0,0,349
594,3,1,13,310,0,2388
595,0,0,0,47,0,163
596,0,0,0,0,0,425
597,0,0,0,0,0,73
598,0,0,0,0,0,0
599,0,0,6,78,0,842
600,0,0,8,0,0,1576
601,0,0,0,0,0,1
602,0,0,0,81,0,90
603,2,0,0,200,0,578
604,0,0,0,42,0,1524
605,0,0,0,37,0,538
606,3,0,1,344,0,2351
607,1,0,0,100,0,3060
608,3,1,2,348,0,1967
609,1,0,0,100,0,1247
610,8,3,1,586,0,1982
611,1,0,0,100,0,2137
612,1,0,6,262,0,1331
613,0,0,0,0,0,188
614,1,0,0,167,0,159
615,0,0,0,92,0,240
616,5,4,1,619,0,1707
617,0,0,0,23,0,76
618,1,0,7,167,0,3068
619,0,0,0,0,0,11
620,0,0,0,22,0,1998
621,2,0,0,200,0,364
622,0,0,0,0,0,146
623,0,0,0,0,0,9
624,0,0,0,74,0,15
625,0,0,0,0,0,1956
626,6,2,1,656,0,3049
627,0,0,1,0,0,1864
628,1,0,0,100,0,353
629,0,0,6,46,0,922
630,0,0,0,0,0,7
631,0,0,0,0,0,15
632,1,0,0,100,0,3575
633,0,0,0,57,0,175
634,0,0,0,12,0,104
635,2,2,1,198,0,2899
636,0,0,0,22,0,63
637,0,0,0,29,0,1207
638,0,0,0,83,0,80
639,1,0,8,43,0,4587
640,0,0,0,0,0,139
641,1,0,0,178,0,589
642,1,0,0,100,0,564
643,0,0,0,98,0,0
644,2,1,1,189,0,239
645,1,0,1,197,0,125
646,0,0,0,96,0,58
647,3,1,0,286,0,1166
648,1,0,0,100,0,279
649,5,0,4,393,0,1824
650,0,0,0,49,0,939
651,0,0,0,0,0,38
652,0,0,0,58,0,958
653,0,0,0,10,0,2303
654,3,0,0,269,0,775
655,1,0,0,100,0,823
656,0,0,0,86,0,125
657,0,0,0,72,0,762
658,0,0,7,71,0,2135
659,0,0,0,72,0,659
660,0,0,1,44,0,2812
661,0,0,0,45,0,814
662,0,0,0,69,0,817
663,3,0,2,300,0,213
664,0,0,0,61,0,565
665,0,0,0,0,0,20
666,0,0,2,0,0,3261
667,4,0,2,367,0,2266
668,0,0,1,68,0,546
669,0,0,1,54,0,2361
670,0,0,0,119,0,0
671,0,0,0,0,0,55
672,0,0,0,96,0,3704
673,0,0,1,0,0,1391
674,0,0,1,0,0,2027
675,1,0,0,163,0,1354
676,0,0,1,0,0,1448
677,0,0,0,84,0,589
678,0,0,5,23,0,1122
679,1,0,7,215,0,622
680,0,0,0,0,0,1058
681,0,0,0,0,0,0
682,0,0,0,0,0,144
683,0,0,0,96,0,35
684,1,0,0,100,0,2749
685,6,2,9,552,0,2046
686,1,1,1,100,0,703
687,0,0,0,160,0,0
688,2,0,1,200,0,2419
689,0,0,0,0,0,476
690,1,1,0,198,0,335
691,0,0,0,0,0,934
692,3,1,2,300,0,1793
693,2,1,0,226,0,135
694,0,0,0,0,0,61
695,0,0,0,0,0,8
696,4,0,0,295,0,1377
697,0,0,0,0,0,1346
698,1,1,0,194,0,143
699,1,0,0,100,0,1209
700,0,0,0,0,0,0
701,0,0,0,0,0,49
702,2,0,1,219,0,737
703,0,0,0,0,0,926
704,2,1,0,200,0,44
705,0,0,0,46,0,1538
706,1,0,0,100,0,845
707,0,0,0,0,0,170
708,2,0,5,243,0,1780
709,2,1,2,233,0,2886
710,0,0,0,0,0,352
711,0,0,0,0,0,1045
712,0,0,2,26,0,691
713,4,1,3,404,0,627
714,2,1,0,256,0,1328
715,5,2,2,440,0,2472
716,10,3,3,948,0,1223
717,0,0,0,0,0,219
718,1,0,6,271,0,1042
719,0,0,1,50,0,1016
720,0,0,0,15,0,3258
721,0,0,0,0,0,962
722,0,0,0,0,0,10
723,0,0,8,23,0,4564
724,1,1,1,100,0,1712
725,0,0,0,0,0,1030
726,0,0,0,0,0,479
727,0,0,0,0,0,923
728,0,0,0,24,0,840
729,1,0,1,22,0,973
730,2,0,0,200,0,1446
731,1,0,0,100,0,423
732,1,0,0,76,0,600
733,0,0,0,0,0,19
734,0,0,0,0,0,38
735,0,0,0,0,0,0
736,2,0,6,272,0,2082
737,1,0,1,100,0,1372
738,8,3,3,944,0,1572
739,0,0,0,0,0,22
740,0,0,0,0,0,54
741,0,0,0,0,0,0
742,0,0,0,0,0,33
743,0,0,0,24,0,115
744,0,0,0,22,0,161
745,4,2,1,389,0,2073
746,1,0,0,100,0,15
747,0,0,0,27,0,430
748,0,0,1,0,0,2105
749,0,0,0,0,0,112
750,2,0,0,301,0,532
751,1,0,1,142,0,480
752,0,0,0,0,0,0
753,0,0,0,0,0,938
754,0,0,0,39,0,901
755,2,1,1,319,0,2563
756,0,0,0,0,0,20
757,0,0,1,0,0,897
758,1,0,0,72,0,1239
759,0,0,3,0,0,1139
760,0,0,0,38,0,659
761,1,1,0,185,0,2767
762,0,0,0,0,0,1531
763,1,1,2,128,0,2265
764,0,0,1,45,0,706
765,0,0,0,51,0,0
766,1,0,0,100,0,624
767,0,0,0,92,0,527
768,0,0,0,22,0,291
769,0,0,0,0,0,502
770,0,0,0,0,0,473
771,1,0,0,174,0,1888
772,0,0,0,0,0,1468
773,0,0,0,0,0,407
774,1,0,6,243,0,2265
775,0,0,0,0,0,20
776,0,0,4,2,0,2136
777,1,0,0,90,0,2667
778,0,0,0,33,0,635
779,15,7,2,1476,0,3474
780,0,0,0,10,0,119
781,0,0,0,0,0,559
782,0,0,0,0,0,0
783,5,1,2,387,0,2549
784,0,0,0,60,0,605
785,0,0,0,0,0,275
786,3,1,3,385,0,1596
787,0,0,0,33,0,527
788,0,0,0,0,0,195
789,2,0,0,215,0,578
790,0,0,0,0,0,220
791,0,0,0,49,0,1962
792,0,0,0,0,0,266
793,0,0,0,0,0,30
794,1,0,1,88,0,1225
795,0,0,0,0,0,0
796,1,0,0,100,0,230
797,1,0,1,129,0,456
798,0,0,0,0,0,172
799,2,0,6,297,0,1235
800,3,0,5,329,0,4013
801,1,0,0,100,0,265
802,1,0,4,100,0,968
803,6,2,1,530,0,1811
804,4,0,1,445,0,1452
805,3,0,0,380,0,764
806,0,0,0,0,0,901
807,1,1,0,100,0,1373
808,1,0,6,100,0,4157
809,3,2,6,356,0,1949
810,1,0,0,100,0,1951
811,4,1,1,349,0,1019
812,0,0,0,85,0,112
813,0,0,0,0,0,214
814,0,0,0,0,0,121
815,0,0,0,70,0,472
816,0,0,0,0,0,1338
817,1,0,0,91,0,1353
818,2,2,1,273,0,198
819,2,0,0,128,0,2344
820,0,0,0,0,0,1583
821,0,0,0,0,0,37
822,1,0,0,59,0,1187
823,2,0,5,389,0,1540
824,5,2,2,482,0,1548
825,1,0,0,132,0,309
826,2,0,0,350,0,3128
827,5,0,2,488,0,2572
828,0,0,0,0,0,1653
829,0,0,1,123,0,2128
830,1,0,5,183,0,2434
831,1,1,0,100,0,154
832,0,0,0,63,0,65
833,2,0,4,218,0,1890
834,0,0,0,0,0,69
835,2,0,1,283,0,3013
836,2,0,1,140,0,2053
837,0,0,0,0,0,322
838,0,0,0,0,0,47
839,1,0,3,50,0,1291
840,1,0,0,64,0,619
841,2,0,0,200,0,1138
842,2,2,0,181,0,2593
843,0,0,0,0,0,0
844,3,2,11,255,0,3267
845,0,0,0,0,0,1536
846,2,0,0,200,0,1019
847,0,0,0,0,0,53
848,0,0,0,0,0,81
849,0,0,11,0,0,4879
850,0,0,0,2,0,1478
851,0,0,0,95,0,1123
852,0,0,0,0,0,2190
853,0,0,0,0,0,88
854,3,2,1,341,0,2806
855,0,0,0,0,0,0
856,1,0,0,100,0,50
857,0,0,0,0,0,210
858,4,2,1,409,0,2478
859,0,0,0,0,0,1302
860,2,1,1,200,0,547
861,0,0,0,0,0,134
862,2,0,18,200,0,1093
863,1,0,0,132,0,101
864,1,0,2,158,0,1608
865,0,0,0,99,0,0
866,0,0,0,121,0,919
867,2,1,12,349,0,2420
868,0,0,0,0,0,82
869,0,0,0,0,0,230
870,0,0,0,0,0,428
871,0,0,0,23,0,69
872,0,0,0,0,0,7
873,0,0,0,0,0,99
874,0,0,0,0,0,0
875,2,1,5,200,0,243
876,0,0,5,10,0,468
877,1,1,2,100,0,1200
878,0,0,0,0,0,0
879,1,0,0,125,0,789
880,0,0,0,21,0,19
881,0,0,0,0,0,0
882,0,0,0,0,0,433
883,1,0,1,100,0,1371
884,2,1,1,175,0,1165
885,1,0,0,100,0,483
886,0,0,0,0,0,48
887,0,0,0,0,0,1090
888,0,0,0,0,0,124
889,0,0,0,0,0,4
890,0,0,0,0,0,136
891,0,0,0,0,0,0
892,1,0,1,100,0,2543
893,1,1,4,71,0,2512
894,2,0,0,200,0,1578
895,0,0,2,0,0,1102
896,3,1,19,399,0,2981
897,1,0,3,237,0,1817
898,1,0,2,100,0,2360
899,0,0,0,0,0,0
900,2,0,1,250,0,1309
901,1,0,6,154,0,1723
902,0,0,0,0,0,2397
903,0,0,0,0,0,25
904,3,1,0,363,0,1156
905,1,0,0,100,0,345
906,0,0,0,0,0,1117
907,0,0,0,0,0,269
908,1,1,14,100,0,1868
909,0,0,0,0,0,29
910,0,0,0,0,0,197
911,2,1,2,200,0,1383
912,1,0,0,100,0,14
913,0,0,0,0,0,16
914,1,1,0,100,0,2190
915,0,0,0,0,0,61
916,0,0,0,0,0,761
917,0,0,0,0,0,212
918,0,0,0,0,0,160
919,3,0,1,327,0,1189
920,0,0,5,21,0,2241
921,3,1,1,390,0,1270
922,0,0,0,0,0,81
923,0,0,0,54,0,55
924,0,0,0,0,0,14
925,0,0,0,318,0,0
926,0,0,0,0,0,54
927,1,0,1,154,0,1069
928,3,2,1,314,0,1634
929,0,0,0,0,0,9
930,0,0,0,0,0,6
931,2,1,0,284,0,1169
932,1,0,0,69,0,2210
933,2,0,2,141,0,1719
934,0,0,0,0,0,0
935,0,0,0,33,0,89
936,0,0,0,0,0,68
937,4,2,10,510,0,2606
938,2,0,0,234,0,253
939,2,0,0,117,0,383
940,0,0,2,52,0,442
941,0,0,0,99,0,0
942,1,0,0,126,0,2233
943,1,1,4,276,0,1726
944,1,1,3,149,0,2161
945,0,0,0,13,0,217
946,1,0,0,100,0,2358
947,0,0,1,64,0,399
948,0,0,0,64,0,171
949,0,0,0,0,0,0
950,1,0,0,131,0,2552
951,0,0,0,0,0,0
952,0,0,0,0,0,1878
953,0,0,0,68,0,87
954,0,0,0,0,0,460
955,1,0,0,125,0,85
956,2,0,0,200,0,282
957,1,0,0,100,0,272
958,0,0,0,0,0,142
959,1,0,0,100,0,171
960,0,0,0,26,0,92
961,1,1,2,171,0,2297
962,1,0,2,100,0,249
963,0,0,0,99,0,0
964,0,0,0,176,0,0
965,0,0,5,0,0,780
966,1,0,1,100,0,84
967,2,0,0,200,0,1259
