,winPlacePerc,winPlaceInt
9151,0.4255,42.55
9165,0.2766,27.66
9244,0.2553,25.53
9259,0.5368,53.68000000000001
9264,1.0,100.0
9302,0.3537,35.370000000000005
9314,0.7292,72.92
9346,0.6082,60.81999999999999
9368,0.2268,22.68
9455,0.1579,15.790000000000001
9540,0.8495,84.95
9566,0.2371,23.71
9581,0.6163,61.629999999999995
9606,0.0306,3.06
9612,0.2083,20.830000000000002
9647,0.9022,90.22
9650,0.6517,65.16999999999999
9701,0.3226,32.26
9737,0.9341,93.41000000000001
9741,0.5484,54.84
9763,0.3368,33.68
9905,0.051,5.1
9913,0.0645,6.45
9945,0.734,73.4
9952,0.0549,5.489999999999999
10011,0.1596,15.959999999999999
10032,0.4375,43.75
10033,0.8557,85.57000000000001
10047,0.9158,91.58
10108,0.5484,54.84
10124,0.8229,82.28999999999999
10144,0.3895,38.95
10257,0.9479,94.78999999999999
10270,0.6237,62.370000000000005
10293,0.4066,40.660000000000004
10320,0.5263,52.629999999999995
10346,0.4149,41.49
10361,0.5158,51.580000000000005
10369,0.6702,67.02
10408,0.0,0.0
10416,0.2474,24.740000000000002
10530,0.0,0.0
10549,0.2447,24.47
10552,0.8172,81.72
10620,0.2872,28.720000000000002
10678,0.8462,84.61999999999999
10709,0.2796,27.96
10806,0.6875,68.75
10821,0.0,0.0
10826,0.9775,97.75
10861,0.8333,83.33
10868,0.0,0.0
10882,0.828,82.8
10952,0.0106,1.06
11008,0.4842,48.42
11017,0.0,0.0
11018,0.3548,35.480000000000004
11028,0.2637,26.369999999999997
11041,0.5053,50.529999999999994
11117,0.0425,4.25
11124,0.129,12.9
11146,0.6771,67.71000000000001
11154,0.2062,20.62
11175,0.9787,97.87
11179,0.8947,89.47
11181,0.5306,53.059999999999995
11183,0.4086,40.86
11226,0.0,0.0
11246,0.9474,94.74000000000001
11249,0.0417,4.17
11285,0.375,37.5
11301,0.3958,39.58
11313,0.1443,14.430000000000001
11320,0.8866,88.66000000000001
11352,0.3608,36.08
11413,0.8211,82.11
11451,0.1398,13.98
11466,0.0,0.0
11609,0.0,0.0
11616,0.4255,42.55
11629,0.4583,45.83
11640,0.3333,33.33
11644,0.9271,92.71000000000001
11665,0.4896,48.96
11668,0.9043,90.42999999999999
11671,0.0714,7.140000000000001
11674,0.2366,23.66
11712,0.5625,56.25
11714,0.0632,6.32
11739,0.3646,36.46
11743,0.4271,42.71
11744,0.4227,42.27
11806,0.9892,98.92
11807,0.2632,26.32
11809,0.8172,81.72
11828,0.0488,4.88
11831,0.0745,7.449999999999999
11863,0.5361,53.61
11879,0.5824,58.24
11880,0.8571,85.71
11924,0.8947,89.47
11997,0.4624,46.239999999999995
12026,0.4211,42.11
12042,0.7576,75.76
12051,0.3261,32.61
12121,0.5,50.0
12125,0.6628,66.28
12132,0.3299,32.99
12200,0.3263,32.629999999999995
12216,0.0549,5.489999999999999
12247,0.8302,83.02000000000001
12261,0.8191,81.91000000000001
12384,0.0316,3.16
12404,0.0851,8.51
12410,0.1064,10.639999999999999
12419,0.9474,94.74000000000001
12437,0.0,0.0
12463,0.8191,81.91000000000001
12465,0.9787,97.87
12472,0.1895,18.95
12473,0.0,0.0
12484,0.1354,13.54
12496,0.4255,42.55
12507,0.9381,93.81
12537,0.8737,87.37
12548,0.0412,4.12
12579,0.9694,96.94
12583,0.0833,8.33
12628,0.0,0.0
12647,0.2211,22.11
12660,0.8421,84.21
12675,0.4086,40.86
12700,0.9462,94.62
12710,0.1444,14.44
12738,0.0745,7.449999999999999
12767,0.2632,26.32
12769,0.8687,86.87
12772,0.3889,38.89
12826,0.1064,10.639999999999999
12830,0.8367,83.67
12851,0.398,39.800000000000004
12879,0.4396,43.96
12880,0.75,75.0
12882,0.9158,91.58
12892,0.8351,83.50999999999999
12955,0.8696,86.96000000000001
12957,0.2188,21.88
12983,0.0,0.0
12994,0.1979,19.79
12997,0.4086,40.86
13073,0.5978,59.78
13121,0.1354,13.54
13143,0.871,87.1
13151,0.4651,46.51
13154,0.8621,86.21
13170,0.5161,51.61
13210,0.4301,43.01
13213,0.7021,70.21
13258,0.9579,95.78999999999999
13317,0.6633,66.33
13335,0.0,0.0
13338,0.9892,98.92
13387,0.0,0.0
13416,0.9355,93.55
13420,0.0312,3.1199999999999997
13446,0.6979,69.78999999999999
13469,0.6375,63.74999999999999
13528,0.6778,67.78
13556,0.5495,54.949999999999996
13619,0.5158,51.580000000000005
13620,0.375,37.5
13678,0.5102,51.019999999999996
13690,0.8842,88.42
13702,0.7083,70.83
13716,0.4889,48.89
13739,0.2755,27.55
13747,0.2143,21.43
13750,0.5833,58.330000000000005
13754,0.9667,96.67
13757,0.3587,35.870000000000005
13787,0.2338,23.380000000000003
13813,0.4742,47.42
13817,0.0,0.0
13818,0.7551,75.51
13819,1.0,100.0
13836,0.9785,97.85000000000001
13854,0.7041,70.41
13855,0.1596,15.959999999999999
13870,0.1895,18.95
13919,0.4457,44.57
13937,0.5977,59.77
14002,0.2111,21.11
14064,0.0,0.0
14157,0.0,0.0
14226,0.3152,31.52
14231,0.1978,19.78
14316,0.837,83.7
14330,0.5217,52.17
14335,0.0105,1.05
14417,0.2529,25.290000000000003
14490,0.5072,50.72
14562,0.7176,71.76
14571,0.4787,47.870000000000005
14577,0.5506,55.059999999999995
14581,0.3218,32.18
14590,0.2632,26.32
14594,0.299,29.9
14598,0.8438,84.38
14713,0.4583,45.83
14714,0.3371,33.71
14737,0.0521,5.21
14767,0.0104,1.04
14781,0.0,0.0
14793,0.5258,52.580000000000005
14812,0.0105,1.05
14837,0.0435,4.35
14888,0.8046,80.46
14901,0.8778,87.78
14906,0.1753,17.53
14910,0.4505,45.050000000000004
14922,0.3261,32.61
14926,0.2667,26.669999999999998
14955,0.9684,96.84
14959,0.9247,92.47
14988,0.9892,98.92
14999,0.1084,10.84
15019,0.6548,65.48
15021,0.3263,32.629999999999995
15042,0.6593,65.93
15045,0.8316,83.16
15049,0.6087,60.870000000000005
15078,0.4592,45.92
15156,0.2474,24.740000000000002
15159,0.4688,46.88
15172,0.0217,2.17
15180,0.701,70.1
15199,0.5778,57.78
15240,0.4583,45.83
15256,0.3542,35.42
15283,0.9388,93.88
15321,0.3608,36.08
15324,0.0,0.0
15338,0.5833,58.330000000000005
15415,0.9167,91.67
15429,0.0412,4.12
15468,0.0,0.0
15471,1.0,100.0
15479,0.6211,62.11
15494,0.1828,18.279999999999998
15522,0.069,6.9
15526,0.0544,5.4399999999999995
15541,1.0,100.0
15555,0.7684,76.84
15576,0.7396,73.96000000000001
15592,0.9255,92.55
15633,0.375,37.5
15701,0.3684,36.84
15703,0.9896,98.96000000000001
15711,0.4526,45.26
15770,0.9053,90.53
15774,0.2887,28.87
15776,0.7234,72.34
15797,0.0,0.0
15806,0.587,58.699999999999996
15864,0.102,10.2
15911,0.625,62.5
15915,0.7041,70.41
15946,0.3763,37.63
15998,0.8421,84.21
16000,1.0,100.0
16007,0.6531,65.31
16010,0.7474,74.74
16115,0.5333,53.33
16134,0.7128,71.28
16153,0.8824,88.24
16176,0.9263,92.63
16204,0.3895,38.95
16218,0.4632,46.32
16264,0.1809,18.09
16286,0.4444,44.440000000000005
16330,0.6979,69.78999999999999
16365,0.7979,79.79
16424,0.3505,35.05
16431,0.9062,90.62
16445,0.1224,12.24
16504,0.2198,21.98
16510,0.7113,71.13000000000001
16520,0.8316,83.16
16547,0.4592,45.92
16550,0.7917,79.17
16576,0.8824,88.24
16599,0.375,37.5
16687,0.5306,53.059999999999995
16688,0.375,37.5
16707,0.2188,21.88
16741,0.3093,30.930000000000003
16761,0.3263,32.629999999999995
16791,0.4742,47.42
16805,0.9255,92.55
16842,0.1277,12.770000000000001
16947,0.7579,75.79
16959,0.3789,37.89
17039,0.0,0.0
17084,0.6413,64.13
17089,0.1368,13.68
17099,0.4787,47.870000000000005
17108,0.2809,28.09
17133,0.25,25.0
17167,0.6316,63.160000000000004
17175,0.0,0.0
17186,0.1,10.0
17282,0.6633,66.33
17296,0.1649,16.49
17322,0.6632,66.32000000000001
17364,0.4194,41.94
17413,0.1474,14.74
17417,0.6495,64.95
17428,0.6522,65.22
17464,0.5824,58.24
17474,0.2526,25.259999999999998
17537,0.7717,77.17
17541,0.6737,67.36999999999999
17566,0.8085,80.85
17626,0.8438,84.38
17657,0.0532,5.319999999999999
17661,0.3778,37.78
17695,0.4894,48.94
17709,0.3918,39.18
17734,0.25,25.0
17875,0.2872,28.720000000000002
17916,0.2211,22.11
17946,0.4479,44.79
17957,0.2234,22.34
17980,0.5104,51.04
17991,0.3478,34.78
18015,0.2935,29.349999999999998
18030,0.1443,14.430000000000001
18041,0.0,0.0
18044,0.4184,41.839999999999996
18085,0.1111,11.110000000000001
18100,0.5319,53.190000000000005
18125,0.1327,13.270000000000001
18138,0.5521,55.21
18145,0.8265,82.65
18154,0.3085,30.85
18231,0.0435,4.35
18235,0.3542,35.42
18259,0.3889,38.89
18282,0.0722,7.22
18304,0.4731,47.31
18426,1.0,100.0
18442,0.5789,57.89
18446,0.7308,73.08
18470,0.0745,7.449999999999999
18500,0.4639,46.39
18506,0.7865,78.64999999999999
18507,0.5319,53.190000000000005
18521,0.8842,88.42
18539,0.9271,92.71000000000001
18567,0.5158,51.580000000000005
18617,0.1667,16.669999999999998
18655,0.8351,83.50999999999999
18666,0.7474,74.74
18679,0.1957,19.57
18685,0.4082,40.82
18687,0.3263,32.629999999999995
18688,0.6596,65.96
18689,0.0333,3.3300000000000005
18706,0.0632,6.32
18744,0.4348,43.480000000000004
18756,0.2188,21.88
18758,0.6211,62.11
18774,0.3978,39.78
18779,0.8,80.0
18804,0.2556,25.56
18830,0.7423,74.22999999999999
18831,0.1458,14.580000000000002
18879,0.3656,36.559999999999995
18883,0.234,23.400000000000002
18902,0.1398,13.98
18920,0.0316,3.16
18967,0.4167,41.67
19054,1.0,100.0
19075,0.7708,77.08
19090,0.8958,89.58
19111,0.3299,32.99
19116,0.6526,65.25999999999999
19123,0.022,2.1999999999999997
19143,0.2292,22.919999999999998
19187,0.3299,32.99
19220,0.0,0.0
19292,0.9896,98.96000000000001
19295,0.1789,17.89
19312,0.6526,65.25999999999999
19360,0.2414,24.14
19364,0.5474,54.74
19413,0.8958,89.58
19414,0.7684,76.84
19416,0.6105,61.050000000000004
19419,0.1327,13.270000000000001
19465,0.5484,54.84
19500,0.0421,4.21
19585,0.6421,64.21
19621,0.0645,6.45
19633,0.2935,29.349999999999998
19638,0.3474,34.74
19642,0.8736,87.36
19677,0.2842,28.42
19679,0.4086,40.86
19717,0.0,0.0
19725,0.0889,8.89
19762,0.0,0.0
19823,0.0,0.0
19869,0.8526,85.26
19871,0.0312,3.1199999999999997
19872,0.6598,65.98
19902,0.8617,86.17
19939,0.0,0.0
19960,0.5895,58.95
19987,0.3684,36.84
20024,0.9691,96.91
20061,0.5368,53.68000000000001
20073,0.3814,38.14
20083,0.4688,46.88
20114,1.0,100.0
20117,0.0,0.0
20141,0.0,0.0
20144,0.9684,96.84
20153,0.7604,76.03999999999999
20179,0.0,0.0
20244,0.1828,18.279999999999998
20250,0.6941,69.41000000000001
20274,0.0333,3.3300000000000005
20292,0.4479,44.79
20358,0.7128,71.28
20380,0.2421,24.21
20387,0.1158,11.58
20397,0.2857,28.57
20407,0.9355,93.55
20414,0.6344,63.44
20438,0.4598,45.98
20462,0.2581,25.81
20481,0.2444,24.44
20485,0.1789,17.89
20497,0.5579,55.78999999999999
20552,0.0612,6.12
20562,0.1134,11.34
20578,0.4742,47.42
20604,0.2903,29.03
20631,0.7474,74.74
20715,0.2604,26.040000000000003
20724,0.5426,54.26
20761,0.6486,64.86
20770,0.5652,56.52
20775,0.5,50.0
20780,0.7216,72.16
20812,0.2784,27.839999999999996
20815,0.0,0.0
20848,0.3043,30.43
20882,0.1837,18.37
20889,0.0,0.0
20908,0.0753,7.53
20939,0.1237,12.370000000000001
20967,0.0928,9.28
20975,0.3085,30.85
20977,0.7128,71.28
20995,0.6047,60.47
20996,0.1895,18.95
21004,0.2065,20.65
21082,0.7789,77.89
21116,0.0,0.0
21121,0.0,0.0
21172,0.129,12.9
21209,0.4896,48.96
21269,0.3854,38.54
21282,0.4,40.0
21300,0.0,0.0
21306,0.9468,94.67999999999999
21317,0.8542,85.42
21324,0.7778,77.78
21325,0.5312,53.12
21330,0.8947,89.47
21331,0.9485,94.85
21371,0.7292,72.92
21388,0.878,87.8
21444,0.4941,49.41
21451,0.2812,28.12
21461,0.7423,74.22999999999999
21485,0.0,0.0
21542,0.0,0.0
21544,0.8632,86.32
21557,0.6064,60.64000000000001
21573,0.6458,64.58
21656,0.6374,63.739999999999995
21690,0.1429,14.29
21714,0.3261,32.61
21723,0.2143,21.43
21729,0.8936,89.36
21799,0.1875,18.75
21808,0.5824,58.24
21812,0.8202,82.02000000000001
21825,0.1146,11.459999999999999
21865,0.5368,53.68000000000001
21867,0.7634,76.34
21897,0.5914,59.14
21924,0.2247,22.470000000000002
22054,0.0833,8.33
22064,0.9368,93.67999999999999
22069,0.6437,64.37
22087,0.5806,58.06
22145,0.2717,27.169999999999998
22157,0.0,0.0
22163,0.8352,83.52000000000001
22234,0.4947,49.47
22239,0.6979,69.78999999999999
22247,0.2211,22.11
22264,0.8211,82.11
22275,0.25,25.0
22320,0.6907,69.07
22327,0.4141,41.410000000000004
22330,0.8041,80.41
22341,0.4457,44.57
22388,0.1935,19.35
22406,0.5682,56.82000000000001
22443,0.5938,59.38
22454,0.6615,66.14999999999999
22483,0.0103,1.03
22487,0.883,88.3
22488,0.1735,17.349999999999998
22524,0.9792,97.92
22565,0.9785,97.85000000000001
22576,0.5426,54.26
22590,0.3542,35.42
22595,0.033,3.3000000000000003
22596,0.6042,60.419999999999995
22623,0.1031,10.31
22637,0.0761,7.61
22647,0.6207,62.07
22724,0.9485,94.85
22729,0.5102,51.019999999999996
22745,0.0,0.0
22757,0.5055,50.55
22776,0.967,96.7
22784,0.1915,19.15
22786,0.7629,76.29
22827,0.0,0.0
22942,0.8298,82.98
22944,0.0,0.0
22969,0.1443,14.430000000000001
22981,0.4388,43.88
22991,0.7053,70.53
23026,0.8163,81.63
23032,0.3548,35.480000000000004
23047,0.8022,80.22
23053,0.9184,91.84
23069,0.8316,83.16
23082,0.2688,26.88
23115,1.0,100.0
23135,0.5312,53.12
23136,0.6562,65.62
23229,0.5464,54.64
23274,0.3299,32.99
23310,0.602,60.199999999999996
23332,0.0632,6.32
23337,0.9762,97.61999999999999
23343,0.2143,21.43
23402,0.5385,53.849999999999994
23422,0.5368,53.68000000000001
23452,0.6458,64.58
23462,0.5269,52.690000000000005
23472,0.9796,97.96000000000001
23479,0.4583,45.83
23504,0.398,39.800000000000004
23515,0.1277,12.770000000000001
23532,0.4896,48.96
23540,0.9896,98.96000000000001
23562,0.1856,18.56
23566,0.2812,28.12
23595,1.0,100.0
23620,0.4891,48.91
23621,0.3196,31.96
23641,0.1856,18.56
23697,0.8352,83.52000000000001
23763,0.2151,21.51
23809,0.1075,10.75
23890,0.5312,53.12
23916,0.2234,22.34
23919,0.8542,85.42
24018,0.6289,62.89
24144,0.1522,15.22
24147,0.0,0.0
24155,0.3085,30.85
24158,0.4536,45.36
24161,0.0,0.0
24180,0.7097,70.97
24215,0.9485,94.85
24241,0.9101,91.01
24248,0.701,70.1
24251,0.2766,27.66
24259,0.5729,57.29
24269,0.551,55.1
24302,0.2872,28.720000000000002
24319,0.4842,48.42
24333,0.6562,65.62
24355,0.4945,49.45
24392,0.7708,77.08
24500,0.2917,29.17
24504,0.0,0.0
24509,0.7216,72.16
24535,0.0,0.0
24556,0.8111,81.11
24652,0.6526,65.25999999999999
24660,0.9677,96.77
24689,0.4433,44.330000000000005
24770,0.9082,90.82000000000001
24778,0.375,37.5
24786,0.0,0.0
24839,0.5222,52.22
24869,0.4632,46.32
24871,0.0213,2.13
24893,0.9474,94.74000000000001
24919,0.8172,81.72
24921,0.6082,60.81999999999999
24922,0.8621,86.21
24944,0.1935,19.35
24953,0.1064,10.639999999999999
24955,0.3368,33.68
24983,0.1134,11.34
24998,0.0,0.0
25008,0.9583,95.83
25047,0.9247,92.47
25094,0.1413,14.13
25216,0.3333,33.33
25217,0.2366,23.66
25248,0.7935,79.35
25288,0.837,83.7
25306,0.567,56.699999999999996
25311,0.7579,75.79
25354,0.8542,85.42
25405,0.7083,70.83
25411,0.6,60.0
25466,0.4574,45.739999999999995
25514,0.4681,46.81
25525,0.234,23.400000000000002
25538,0.0,0.0
25566,0.0,0.0
25583,0.9175,91.75
25618,0.1702,17.02
25626,0.8646,86.46000000000001
25633,0.6667,66.67
25688,0.9684,96.84
25699,0.7021,70.21
25717,0.25,25.0
25733,0.1809,18.09
25772,0.25,25.0
25786,0.4948,49.480000000000004
25797,0.9231,92.31
25812,0.4066,40.660000000000004
25823,0.3333,33.33
25840,0.9691,96.91
25889,0.8085,80.85
25910,0.5408,54.08
25922,0.5055,50.55
25931,0.2551,25.509999999999998
25949,0.7143,71.43
25951,0.5102,51.019999999999996
26074,0.0,0.0
26081,0.1915,19.15
26089,0.6739,67.39
26119,0.2043,20.43
26129,0.0753,7.53
26133,0.5269,52.690000000000005
26240,0.6154,61.53999999999999
26275,0.4565,45.65
26296,0.866,86.6
26332,0.0425,4.25
26350,0.7857,78.57
26393,0.7895,78.95
26405,0.8842,88.42
26420,0.1507,15.07
26510,0.9565,95.65
26519,0.0,0.0
26522,0.2625,26.25
26531,0.9688,96.88
26598,0.3011,30.11
26607,0.6458,64.58
26665,0.914,91.4
26669,0.7849,78.49000000000001
26759,0.4891,48.91
26782,0.7895,78.95
26797,1.0,100.0
26801,0.0,0.0
26810,0.9368,93.67999999999999
26815,0.1744,17.44
26836,0.2526,25.259999999999998
26859,0.3789,37.89
26867,0.7216,72.16
26868,0.5591,55.910000000000004
26879,0.5521,55.21
26927,0.4946,49.46
26928,0.9485,94.85
26930,0.1856,18.56
26936,0.6588,65.88000000000001
26965,0.3367,33.67
26975,0.8061,80.61
27017,0.4479,44.79
27063,0.3093,30.930000000000003
27065,0.8842,88.42
27084,0.7849,78.49000000000001
27111,0.7113,71.13000000000001
27123,0.4082,40.82
27127,0.7368,73.68
27128,0.8571,85.71
27160,0.2474,24.740000000000002
27161,0.9898,98.98
27173,0.4348,43.480000000000004
27174,0.0769,7.6899999999999995
27176,0.0105,1.05
27189,0.1196,11.959999999999999
27213,0.0,0.0
27226,0.6211,62.11
27234,0.7935,79.35
27238,0.5104,51.04
27290,0.0938,9.379999999999999
27332,0.0,0.0
27352,0.5402,54.02
27383,0.4468,44.68
27384,0.8925,89.25
27419,0.8784,87.83999999999999
27430,0.7647,76.47
27440,0.0957,9.569999999999999
27458,0.2083,20.830000000000002
27460,0.1413,14.13
27486,0.6105,61.050000000000004
27544,0.4505,45.050000000000004
27617,0.8586,85.86
27623,0.9053,90.53
27657,0.9043,90.42999999999999
27676,0.3085,30.85
27778,0.1304,13.04
27834,0.9892,98.92
27852,0.5789,57.89
27854,0.3684,36.84
